image,name,price,description,features,latestUpdates,category,color,minPrice,maxPrice
https://stimg.cardekho.com/images/carexteriorimages/630x420/Hyundai/Verna/9744/1694602806760/front-left-side-47.jpg?tr=w-664,Hyundai Verna,Rs.11 - 17.42 Lakh,"ARAI Mileage : 20.6 kmpl
City Mileage : 12.6 kmpl
Fuel Type : Petrol
Engine Displacement : 1482 cc
No. of Cylinders : 4
Max Power : 157.57bhp@5500rpm
Max Torque : 253Nm@1500-3500rpm
Seating Capacity : 5
Transmission Type : Automatic
Boot Space : 528 Litres
Fuel Tank Capacity : 45 Litres
Body Type : Sedan
Service Cost : Rs.3,312 Avg. of 5 years",Features,"Latest Update: The Hyundai Verna has voluntarily been recalled along with the Creta. Units equipped with 1.5-litre naturally aspirated petrol engine with the CVT automatic are affected by this recall. Get discounts of up to Rs 35,000 on the Hyundai Verna this February. 
Price: Prices of the Hyundai Verna range from Rs 11 lakh to Rs 17.42 lakh (ex-showroom Delhi). 
Variants: The compact sedan can be had in four broad variants: EX, S, SX and SX(O). 
Boot Space: It has a boot space of 528 litres. 
Colours: It comes in seven monotone and two dual-tone colour options: Titan Grey, Tellurian Brown, Typhoon Silver, Fiery Red, Atlas White, Abyss Black, Starry Night, Atlas White with Black roof and Fiery Red with Black roof. 
Engine and Transmission: The sixth-generation Verna comes with 2 petrol engine options: a new 1.5-litre turbocharged engine (160 PS/253 Nm) paired with either a 6-speed manual or a 7-speed DCT, and a 1.5-litre naturally aspirated unit (115 PS/144 Nm) mated to either a 6-speed manual or a CVT gearbox. 
Features: Its features list comprises a dual integrated screen setup (including a 10.25-inch touchscreen infotainment system and a digitised driver’s display). It also gets an 8-speaker Bose sound system, 64-colour ambient lighting, a single-pane sunroof, an air purifier and ventilated and heated front seats. 
Safety: In terms of passenger safety, it gets 6 airbags, ISOFIX child seat anchorages and ABS with EBD as standard. Its higher variants also come with electronic stability control (ESC), front parking sensors, all-wheel disc brakes, and a tyre pressure monitoring system. Hyundai is also offering advanced driver assistance systems (ADAS) such as forward-collision warning, blind-spot alert, lane keep assist, lane departure warning, and adaptive cruise control. 
Rivals: The Hyundai Verna rivals the Honda City, Maruti Suzuki Ciaz, Skoda Slavia, and Volkswagen Virtus.",sedan,black,1100000,1742000
https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Swift-Dzire/10243/1686044076724/front-left-side-47.jpg?tr=w-664,Maruti Dzire,Rs.6.57 - 9.39 Lakh,"ARAI Mileage : 22.61 kmpl
Fuel Type : Petrol
Engine Displacement : 1197 cc
No. of Cylinders : 4
Max Power : 88.50bhp@6000rpm
Max Torque : 113Nm@4400rpm
Seating Capacity : 5
Transmission Type : Automatic
Boot Space : 378 Litres
Fuel Tank Capacity : 37 Litres
Body Type : Sedan
Service Cost : Rs.5,254 Avg. of 5 years",Features,"Latest Update: Maruti is offering discounts of up to Rs 37,000 on the Dzire this March. 
Price: The Maruti Dzire is priced between Rs 6.57 lakh and Rs 9.39 lakh (ex-showroom Delhi). 
Variants: The Maruti Dzire comes in four broad variants: LXi, VXi, ZXi, and ZXi+. The VXi and ZXi trims also offer a CNG option. 
Colour Options: Maruti provides seven monotone colour options for the Dzire: Oxford Blue, Magma Grey, Arctic White, Phoenix Red, Splendid Silver, Bluish Black, and Sherwood Brown. 
Boot Space: The Dzire features a boot space of 378 litres. 
Engine and Transmission: It is equipped with a 1.2-litre petrol engine (90 PS/113 Nm), available with either a 5-speed manual or a 5-speed AMT. For the CNG variants, the engine produces 77 PS and 98.5 Nm, available exclusively with a 5-speed manual transmission. 
Claimed Fuel Efficiency: 
 
  1.2-litre MT: 22.41 kmpl.  
  1.2-litre AMT: 22.61 kmpl.  
  CNG MT: 31.12 km/kg.  
 
Features: Key features onboard include a 7-inch touchscreen infotainment system with support for Android Auto and Apple CarPlay, cruise control, automatic air conditioning, and automatic LED headlights. 
Safety: Safety features include dual front airbags, ISOFIX child-seat anchors, and rear parking sensors. Furthermore, electronic stability control (ESC) and hill-hold assist are available in the AMT variants. 
Rivals: The Maruti Dzire competes with Honda Amaze, Hyundai Aura, and Tata Tigor.",sedan,blue,657000,939000
https://stimg.cardekho.com/images/carexteriorimages/630x420/Honda/City/9710/1677914238296/front-left-side-47.jpg?tr=w-664,Honda City,Rs.11.82 - 16.30 Lakh,"ARAI Mileage : 18.4 kmpl
Fuel Type : Petrol
Engine Displacement : 1498 cc
No. of Cylinders : 4
Max Power : 119.35bhp@6600rpm
Max Torque : 145Nm@4300rpm
Seating Capacity : 5
Transmission Type : Automatic
Boot Space : 506 Litres
Fuel Tank Capacity : 40 Litres
Body Type : Sedan
Service Cost : Rs.5,625 Avg. of 5 years",Features,"Latest Update: The Honda City is now equipped with six airbags as standard, while Honda has also hiked its prices by up to Rs 37,000. 
Price: The Honda City sedan is priced between Rs 12.08 lakh and Rs 16.35 lakh (ex-showroom Delhi). 
Variants: The Honda City is available in four main variants: SV, V, VX, and ZX. Additionally, there is the Elegant edition based on the mid-spec V variant, and the City Hybrid offered on the mid-spec V and top-spec ZX trims. 
Colour Options: The Honda offers six monotone shades for the Honda City: Obsidian Blue Pearl, Radiant Red Metallic, Platinum White Pearl, Golden Brown Metallic, Meteoroid Grey Metallic, and Lunar Silver Metallic. 
Boot Space: The Honda City has a boot capacity of 506 litres. 
Engine and Transmission: The Honda City is powered by a 1.5-litre petrol engine (121 PS/145 Nm), available with either a 6-speed manual or a CVT. 
Mileage Figures: 
1.5-liter MT: 17.8 kmpl 
1.5-liter CVT: 18.4 kmpl 
Features: Key features include an 8-inch touchscreen infotainment system, wireless phone charging, ambient lighting, cruise control, and a single-pane sunroof. The Elegant edition of the City also includes illuminated door sills and footwell lamps. 
Safety: Safety features include six airbags (as standard), electronic stability control (ESC), a tyre pressure monitoring system (TPMS), and advanced driver-assistance systems (ADAS) such as collision mitigation braking, adaptive cruise control, road departure mitigation, auto high beam assist, and lane-keep assist. 
Rivals: The Honda City competes with the Maruti Suzuki Ciaz, Skoda Slavia, Volkswagen Virtus, and Hyundai Verna.",sedan,blue,1182000,1630000
https://stimg.cardekho.com/images/carexteriorimages/630x420/Hyundai/Aura/10126/1694588549389/front-left-side-47.jpg?tr=w-664,Hyundai Aura,Rs.6.49 - 9.05 Lakh,"ARAI Mileage : 22 km/kg
Secondary Fuel Type : Petrol
Fuel Type : CNG
Engine Displacement : 1197 cc
No. of Cylinders : 4
Max Power : 67.72bhp@6000rpm
Max Torque : 95.2Nm@4000rpm
Seating Capacity : 5
Transmission Type : Manual
Fuel Tank Capacity : 65 Litres
Body Type : Sedan
Service Cost : Rs.3,990 Avg. of 5 years",Features,"Latest Update: Customers can get benefits of up to Rs 33,000 on the Hyundai Aura this February. 
Price: The Hyundai Aura is priced between Rs 6.49 lakh and Rs 9.05 lakh (ex-showroom Delhi). 
Variants: This subcompact sedan comes in 5 primary variants: E, S, SX, SX (O), and SX+. The S and S+ variants are also available with CNG options. 
Colour Options: Hyundai offers 6 monotone colour options for the Aura: Fiery Red, Typhoon Silver, Starry Night, Atlas White, Titan Grey, and Aqua Teal. 
Engine and Transmission: The Aura is powered by a 1.2-litre petrol engine (83 PS/114 Nm), available with either a 5-speed manual or a 5-speed AMT (automated manual transmission). The 1.2-litre petrol engine also comes with a factory-fitted CNG kit (69 PS / 95.2 Nm) on the 'S' and 'SX' models, paired with a 5-speed manual transmission. 
Features: Features on board the Aura include an 8-inch touchscreen infotainment system with Android Auto and Apple CarPlay, a wireless phone charger, auto climate control, a height-adjustable driver's seat, and cruise control. 
Safety: Safety features include 6 standard airbags, ESC, hill-start assist, a rear parking camera, a tyre pressure monitoring system, ISOFIX child-seat anchorages, and rear parking sensors. 
Rivals: The Hyundai Aura competes with the Maruti Suzuki Dzire, Honda Amaze, and Tata Tigor.",sedan,silver,649000,905000
https://stimg.cardekho.com/images/carexteriorimages/630x420/Honda/Amaze/10519/1689589132736/front-left-side-47.jpg?tr=w-664,Honda Amaze,Rs.7.20 - 9.96 Lakh,"ARAI Mileage : 18.3 kmpl
Fuel Type : Petrol
Engine Displacement : 1199 cc
No. of Cylinders : 4
Max Power : 88.50bhp@6000rpm
Max Torque : 110Nm@4800rpm
Seating Capacity : 5
Transmission Type : Automatic
Boot Space : 420 Litres
Fuel Tank Capacity : 35 Litres
Body Type : Sedan
Service Cost : Rs.5,468 Avg. of 5 years",Features,"Latest Update: The Honda Amaze has lost its base variant while its prices have been increased by up to Rs 11,000. 
Price: The Honda Amaze is priced from Rs 7.93 lakh to Rs 9.86 lakh (ex-showroom Delhi). 
Variants: The sub-4m sedan offers two broad variants: S and VX. The Elite edition is derived from the top-of-the-line VX trim. 
Colour Options: Honda offers five monotone shades for the Amaze: Radiant Red Metallic, Platinum White Pearl, Golden Brown Metallic, Meteoroid Grey Metallic, and Lunar Silver Metallic. 
Boot Space: The Amaze has a boot space of 420 litres. 
Engine and Transmission: Honda has equipped the Amaze with a 1.2-litre petrol engine (90 PS/110 Nm), paired with either a 5-speed manual transmission or a CVT (continuously variable transmission). 
Features: Key features include a 7-inch touchscreen infotainment system, auto-LED projector headlights, cruise control, and paddle shifters (available exclusively with the CVT variants). 
Safety: Safety features include dual front airbags, ABS with EBD, rear parking sensors, seatbelt reminders for all seats, a rearview camera, and ISOFIX child seat anchors. 
Rivals: The Honda Amaze competes with the Tata Tigor, Hyundai Aura, and Maruti Suzuki Dzire.",sedan,black,720000,996000
https://stimg.cardekho.com/images/carexteriorimages/630x420/Volkswagen/Virtus/10624/1689938817194/front-left-side-47.jpg?tr=w-664,Volkswagen Virtus,Rs.11.56 - 19.41 Lakh,"ARAI Mileage : 19.62 kmpl
Fuel Type : Petrol
Engine Displacement : 1498 cc
No. of Cylinders : 4
Max Power : 147.51bhp@5000-6000rpm
Max Torque : 250Nm@1600-3500rpm
Seating Capacity : 5
Transmission Type : Automatic
Boot Space : 521 Litres
Fuel Tank Capacity : 45 Litres
Body Type : Sedan
Ground Clearance Unladen : 179 mm
Service Cost : Rs.5,780 Avg. of 5 years",Features,"Latest Update: Volkswagen recently showcased a sportier iteration of the Virtus sedan called the 'GT Plus Sport' with cosmetic tweaks inside and out, although in a concept form. We have now compared it in images with the turbo version of the Hyundai Verna. 
Price: The Volkswagen Virtus is priced from Rs 11.56 lakh to Rs 19.41 lakh (ex-showroom Delhi), with the Sound Edition starting at Rs 15.80 lakh (ex-showroom). 
Variants: Available in two broad variants: Dynamic Line (Comfortline, Highline, Topline) and Performance Line (GT Plus). 
Colour Options: It comes in 8 colours: Lava Blue, Curcuma Yellow, Rising Blue, Reflex Silver, Carbon Steel Grey, Candy White, Wild Cherry Red, Deep Black Pearl (available in Topline Variant). 
Boot Space: The Virtus offers a boot space of 521 litres.  
Engine and Transmission: The Volkswagen Virtus comes in two petrol engine options: 
 
  A 1-litre engine (115 PS/178 Nm), paired with either a 6-speed manual or a 6-speed automatic.  
  A 1.5-litre engine (150 PS/250 Nm), offered with a 7-speed DCT and a 6-speed manual.  
 
Fuel Efficiency: 
 
  1-litre MT: 20.08 kmpl  
  1-litre AT: 18.45 kmpl  
  1.5-litre MT: 18.88 kmpl  
  1.5-litre DSG: 19.62 kmpl  
 
The 1.5-litre engine features cylinder deactivation technology. It basically shuts off two cylinders under less stress conditions, thereby offering enhanced fuel efficiency. 
Features: Key features include a 10-inch touchscreen infotainment system with wireless Android Auto and Apple CarPlay, a subwoofer and amplifier, push-button start/stop, a fully digital driver display, a single-pane sunroof, powered driver and co-driver’s seats, connected car technology, illuminated footwell, a wireless phone charger, ventilated front seats, and rain-sensing wipers. 
Safety: Safety features comprise up to six airbags, electronic stability control (ESC), hill hold assist, ISOFIX child seat anchors, and rear parking sensors. 
Rivals: The Volkswagen Virtus competes with the Hyundai Verna, Skoda Slavia, Maruti Suzuki Ciaz, and Honda City.",sedan,red,1156000,1941000
https://stimg.cardekho.com/images/carexteriorimages/630x420/Skoda/Slavia/9807/1691643999681/front-left-side-47.jpg?tr=w-664,Skoda Slavia,Rs.11.53 - 19.13 Lakh,"ARAI Mileage : 19.36 kmpl
Fuel Type : Petrol
Engine Displacement : 1498 cc
No. of Cylinders : 4
Max Power : 147.51bhp@5000-6000rpm
Max Torque : 250Nm@1600-3500rpm
Seating Capacity : 5
Transmission Type : Automatic
Boot Space : 521 Litres
Fuel Tank Capacity : 45 Litres
Body Type : Sedan
Ground Clearance Unladen : 145 mm",Features,"Price: The Slavia is priced from Rs 11.53 lakh to Rs 19.13 lakh (ex-showroom pan-India). 
Variants: Skoda offers it in three broad variants: Active, Ambition, and Style. Special editions include the Matte edition and the Elegance edition, both based on the top-spec Style variant. 
Colour Options: It comes in six monotone and two dual-tone colour options for the Slavia: Lava Blue, Crystal Blue, Tornado Red, Carbon Steel, Brilliant Silver, Candy White, Crystal Blue With carbon steel, and Brilliant Silver With carbon steel. The Elegance edition is available in Deep black.  
Boot Space: Skoda’s compact sedan has a boot space of 521 litres. 
Engine and Transmission: The Skoda Slavia comes with two turbo-petrol engine options: 
 
  1-litre turbo-petrol engine (115 PS /178 Nm)  
  1.5-litre turbo-petrol engine (150 PS / 250 Nm)  
 
Both units come with a 6-speed manual transmission as standard, while the automatic variants include a 6-speed torque converter for the 1-litre unit and a 7-speed DCT for the 1.5-litre engine. 
Claimed Fuel Efficiency: 
 
  1-litre MT: 20.32 kmpl    
  1-litre AT: 18.73 kmpl  
  1.5-litre MT: 19 kmpl  
  1.5-litre DCT: 19.36 kmpl  
 
The 1.5-litre engine features cylinder deactivation technology for improved fuel efficiency. 
Features: Key features include a 10-inch touchscreen, cruise control, automatic climate control, an 8-inch digital driver’s display, and a sunroof. It also gets a powered driver and co-driver seat, and ventilated front seats. The Ambition Plus variant also includes a built-in dashcam. 
Safety: Safety features comprise up to six airbags, ISOFIX child-seat anchorages, a tyre pressure monitoring system (TPMS), hill-hold assist, and a rear parking camera. 
Rivals: The Skoda Slavia competes with the Hyundai Verna, Maruti Suzuki Ciaz, Honda City, and Volkswagen Virtus.",sedan,red,1153000,1913000
https://stimg.cardekho.com/images/carexteriorimages/630x420/Skoda/Superb/9928/1712138063999/front-left-side-47.jpg?tr=w-664,Skoda Superb,Rs.54 Lakh,"Fuel Type : Petrol
Engine Displacement : 1984 cc
No. of Cylinders : 4
Transmission Type : Automatic
Body Type : Sedan",,"Latest Update: The fourth-generation Skoda Superb has been unveiled globally. Here’s how the new-gen Superb compares to its predecessor. 
Launch: In India, it could be launched by June 2024. 
Price: Skoda could price the fourth-gen Superb from Rs 36 lakh (ex-showroom) onwards. 
Engine & Transmission: The new Skoda Superb offers multiple powertrain options, which includes a 1.5-litre turbo-petrol mild-hybrid (150PS), 2-litre turbo petrol engine (204PS/265PS), a 2-litre diesel engine (150PS/193PS) and 1.5-litre turbo-petrol plug-in hybrid engine with a 25.7kWh battery pack (204PS).  
Except the plug-in hybrid, all engines are paired to a 7-speed dual clutch transmission (DCT), while the former comes with a 6-speed DCT. The 2-litre units also get an optional all-wheel drive (AWD) drivetrain. 
Features: The 2024 Superb boasts amenities like a 13-inch free-floating touchscreen system, automatic AC, ventilated and heated seats, 10-inch digital driver’s display, heads-up display, wireless phone charging with cooling function, powered front seats with massage function, ambient lighting and a sunroof. 
Safety: Its safety package includes up to 10 airbags, electronic stability control (ESC), and a full suite of advanced driver assistance systems (ADAS) including turn assist, emergency steering assist, auto emergency braking and cross-road assist. 
Rivals: The fourth-gen Skoda Superb will take on the Toyota Camry.",sedan,red,5400000,5400000
https://stimg.cardekho.com/images/carexteriorimages/630x420/Maruti/Ciaz/10346/1687437427620/front-left-side-47.jpg?tr=w-664,Maruti Ciaz,Rs.9.40 - 12.29 Lakh,"ARAI Mileage : 20.04 kmpl
Fuel Type : Petrol
Engine Displacement : 1462 cc
No. of Cylinders : 4
Max Power : 103.25bhp@6000rpm
Max Torque : 138Nm@4400rpm
Seating Capacity : 5
Transmission Type : Automatic
Boot Space : 510 Litres
Fuel Tank Capacity : 43 Litres
Body Type : Sedan","Power Steering
Power Windows Front
Anti Lock Braking System
Air Conditioner
Driver Airbag
Passenger Airbag
Automatic Climate Control
Alloy Wheels
Multi-function Steering Wheel","Latest Update: Customers can avail discounts of up to Rs 60,000 with the Maruti Ciaz this March. 
Price: The Ciaz is priced between Rs 9.40 lakh and Rs 12.29 lakh (ex-showroom Delhi). 
Variants: It is available in four variants: Sigma, Delta, Zeta, and Alpha. 
Colour Options: Maruti offers 7 monotone and 3 dual-tone colour options for the Ciaz: Celestial Blue, Dignity Brown, Pearl Midnight Black, Grandeur Grey, Splendid Silver, Opulent Red, Pearl Arctic White, and combinations with black roof. 
Boot Space: The Ciaz offers a boot space of 510 litres. 
Engine and Transmission: The Ciaz is powered by a 1.5-litre petrol engine (105 PS/138 Nm), available with either a 5-speed manual or a 4-speed torque converter. 
Fuel Efficiency: 
 
  1.5-litre MT: 20.65 kmpl  
  1.5-litre AT: 20.04 kmpl  
 
Features: Key features include a 7-inch touchscreen infotainment system with Apple CarPlay and Android Auto, auto-LED headlights, automatic climate control, keyless entry with push-button start, and cruise control. 
Safety: Safety features comprise dual front airbags, ISOFIX child-seat anchorages, electronic stability program (ESP), and hill-assist. 
Rivals: The Ciaz competes with the Honda City, Hyundai Verna, Skoda Slavia, and Volkswagen Virtus.",sedan,blue,940000,1229000
https://stimg.cardekho.com/images/carexteriorimages/630x420/Tata/Tigor/10669/1706792082908/front-left-side-47.jpg?tr=w-664,Tata Tigor,Rs.6.30 - 9.55 Lakh,"ARAI Mileage : 28.06 km/kg
Secondary Fuel Type : Petrol
Fuel Type : CNG
Engine Displacement : 1199 cc
No. of Cylinders : 3
Max Power : 72.41bhp@6000rpm
Max Torque : 95Nm@3500rpm
Seating Capacity : 5
Transmission Type : Automatic
Boot Space : 205 Litres
Fuel Tank Capacity : 70 Litres
Body Type : Sedan","Power Steering
Power Windows Front
Anti Lock Braking System
Air Conditioner
Driver Airbag
Passenger Airbag
Wheel Covers
Automatic Climate Control
Multi-function Steering Wheel","Latest Update: Tata has launched the CNG AMT variants of the Tigor, prices start from Rs 8.85 lakh. 
Price: The Tata Tigor is priced from Rs 6.30 lakh to Rs 9.55 lakh (ex-showroom Delhi). 
Variants: Tata sells the sub-4m sedan in 4 broad variants: XE, XM, XZ, and XZ+. 
Colours: It is offered in 5 colour options: Magnetic Red, Arizona Blue, Opal White, Meteor Bronze, and Daytona Grey. 
Boot Space: The Tata sedan has a boot space of 419 litres. 
Engine and Transmission: Tata has equipped it with a 1.2-litre petrol engine (86 PS/113 Nm), mated to a 5-speed manual or a 5-speed AMT. It can also be had with a CNG kit with both transmission options, producing 73.5 PS and 95 Nm in CNG mode. We have detailed its fuel efficiency figures below: 
 
  MT: 19.28 kmpl  
  AMT: 19.60 kmpl  
  CNG MT: 26.49 km/kg  
  CNG AMT: 28.06 km/kg  
 
Features: It packs features such as a 7-inch touchscreen infotainment system with Android Auto and Apple CarPlay, push-button start/stop, and rain-sensing wipers. Tata has also provided it with keyless entry, auto AC, and a semi-digital instrument cluster. 
Safety: The Tigor's safety kit comprises of dual front airbags, ABS with EBD, and rear parking sensors. 
Rivals: It fights it out with the Maruti Suzuki Dzire, Hyundai Aura and Honda Amaze. 
Tata Tigor EV: Those looking for an electric sub-4m sedan can consider the Tigor EV.",sedan,green,630000,955000
